row_index,sheet_number,bid_item,text,ocr_hints
1175,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1176,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1177,A-602,Furnish & Install Acoustic Batt Insulation,"SOUND ATTENUATION BLANKET; WHERE OCCURS, SEE WALL TYPES",[]
1178,A-602,Furnish & Install Acoustic Batt Insulation,"SOUND ATTENUATION BLANKET; WHERE OCCURS, SEE WALL TYPES",[]
1179,A-602,Furnish & Install Acoustic Batt Insulation,"SOUND ATTENUATION BLANKET; WHERE OCCURS, SEE WALL TYPES",[]
1180,A-602,Furnish & Install Acoustic Batt Insulation,"SOUND ATTENUATION BLANKET; WHERE OCCURS, SEE WALL TYPES",[]
1181,A-602,Furnish & Install Rigid Insulation,RIDGED INSULATION,[]
1182,A-602,Furnish & Install Weather Resistant Barrier,WEATHER RESISTANT BARRIER (WRB),[]
1183,A-602,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,"SINGLE PLY ROOF, SEE ROOF PLAN FOR ASSEMBLY TYPE",[]
1184,A-602,Furnish & Install Horizontal Composite Siding,COMPOSITE SIDING - HORIZONTAL (CS-2),[]
1185,A-602,Furnish & Install Horizontal Composite Siding,COMPOSITE SIDING - HORIZONTAL (CS-2),[]
1186,A-602,Furnish & Install Horizontal Composite Siding,COMPOSITE SIDING - HORIZONTAL (CS-2),[]
1187,A-602,Furnish & Install Horizontal Composite Siding,COMPOSITE SIDING - HORIZONTAL (CS-2),[]
1188,A-602,Furnish & Install Vertical Composite Siding,COMPOSITE SIDING - VERTICAL (CS-1),[]
1189,A-602,Furnish & Install Vertical Composite Siding,COMPOSITE SIDING - VERTICAL (CS-1),[]
1190,A-602,Furnish & Install Self-Adhered and Flexible Flashing Membrane,FLASHING MEMBRANE,[]
1191,A-602,Furnish & Install Self-Adhered and Flexible Flashing Membrane,FLASHING MEMBRANE,[]
1192,A-602,Furnish & Install Self-Adhered and Flexible Flashing Membrane,FLASHING MEMBRANE,[]
1193,A-602,Furnish & Install Self-Adhered and Flexible Flashing Membrane,FLASHING MEMBRANE,[]
1194,A-602,Furnish & Install Self-Adhered and Flexible Flashing Membrane,SELF ADHERED FLASHING MEMBRANE,[]
1195,A-602,Furnish & Install Self-Adhered and Flexible Flashing Membrane,SILL FLASHING,[]
1196,A-602,Furnish & Install Break Metal Trim,BREAK-METAL JAMB WINDOW TRIM OVER RIGID INSULATION,[]
1197,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1198,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1199,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1200,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1201,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1202,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1203,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1204,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1205,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1206,A-602,Furnish & Install Break Metal Trim,"BRAKE-METAL WINDOW TRIM ASSEMBLY, SEE DETAIL A5/A602",[]
1207,A-602,Furnish & Install Break Metal Trim,TWO PIECE BREAK METAL WINDOW/ DOOR TRIM,[]
1208,A-602,Furnish & Install Flashing Installation Accessories,"POP-RIVET AT TOP AND BOTTOM / 18"" O.C.","[""POSSIBLE_DIMENSION""]"
1209,A-602,Furnish & Install Flashing Installation Accessories,OPEN HEM SLIP JOINT,[]
1210,A-602,Furnish & Install General Purpose Exterior Sealant,SEALANT JOINT,[]
1211,A-602,Furnish & Install General Purpose Exterior Sealant,"1/4""TYP.","[""POSSIBLE_DIMENSION""]"
1212,A-602,Furnish & Install General Purpose Exterior Sealant,CONTINUOUS SEALANT,[]
1213,A-602,Furnish & Install General Purpose Exterior Sealant,"1/4""TYP.","[""POSSIBLE_DIMENSION""]"
1214,A-602,Furnish & Install General Purpose Exterior Sealant,JOINT SEALANT PER SIDING MANUFACTURER,[]
1215,A-602,Furnish & Install General Purpose Exterior Sealant,JOINT SEALANT PER SIDING MANUFACTURER,[]
1216,A-602,Furnish & Install General Purpose Exterior Sealant,"1/2"". MAX.","[""POSSIBLE_DIMENSION""]"
1217,A-602,Furnish & Install General Purpose Exterior Sealant,JOINT SEALANT PER SIDING MANUFACTURER,[]
1218,A-602,Furnish & Install General Purpose Exterior Sealant,JOINT SEALANT PER SIDING MANUFACTURER,[]
1219,A-602,Furnish & Install Interior Sealant at Finishes,"CAULK FRAME TO GYP. BD. JOINT, TYP.",[]
1220,A-602,Furnish & Install Interior Sealant at Finishes,"CAULK FRAME TO GYP. BD. JOINT, TYP. ALL SIDES",[]
1221,A-602,Furnish & Install Hollow Metal Door Frames,"HM DOOR HEAD, SEE FLOOR PLAN FOR DOOR TYPE",[]
1222,A-602,Furnish & Install Hollow Metal Door Frames,"HOLLOW METAL FRAME PAINTED, BEYOND",[]
1223,A-602,Furnish & Install Hollow Metal Door Frames,HOLLOW METAL DOOR FRAME AND ATTACHMENT CLIP,[]
1224,A-602,Furnish & Install Hollow Metal Door Frames,"HM DOOR HEAD, SEE FLOOR PLAN FOR DOOR TYPE",[]
1225,A-602,Furnish & Install Hollow Metal Door Frames,HOLLOW METAL DOOR FRAME AND ATTACHMENT CLIP,[]
1226,A-602,Furnish & Install Wood Door Frames And Casings,"WOOD DOOR FRAME AND DOOR CASING, SEE FRAME TYPE ""WD2"" FOR MORE INFORMATION.",[]
1227,A-602,Furnish & Install Wood Door Frames And Casings,"WOOD DOOR FRAME AND DOOR CASING, SEE FRAME TYPE ""WD2"" FOR MORE INFORMATION.",[]
1228,A-602,Furnish & Install Wood Doors Per Schedule And Drawings,INTERIOR DOOR PER FLOOR PLAN,[]
1229,A-602,Furnish & Install Wood Doors Per Schedule And Drawings,INTERIOR DOOR PER FLOOR PLAN,[]
1230,A-602,Furnish & Install Wood Doors Per Schedule And Drawings,INTERIOR DOOR PER FLOOR PLAN,[]
1231,A-602,Furnish & Install Wood Doors Per Schedule And Drawings,INTERIOR DOOR PER FLOOR PLAN,[]
1232,A-602,Furnish & Install Door And Frame Assemblies Per Schedule,SEE FRAME TYPE,[]
1233,A-602,Furnish & Install Door And Frame Assemblies Per Schedule,EXTERIOR DOOR PER FLOOR PLAN,[]
1234,A-602,Furnish & Install Door And Frame Assemblies Per Schedule,SEE FRAME TYPE,[]
1235,A-602,Furnish & Install Door And Frame Assemblies Per Schedule,DOOR - SEE SCHEDULE,[]
1236,A-602,Furnish & Install Door Thresholds,"OFFSET SADDLE THRESHOLD, SET IN BED OF MASTIC.",[]
1237,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SET IN FULL BEAD OF SEALANT. SEE FLOOR PLAN FOR WINDOW TYPE",[]
1238,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SEE FLOOR PLAN FOR WINDOW TYPE",[]
1239,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SEE FLOOR PLAN FOR WINDOW TYPE",[]
1240,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SET IN FULL BEAD OF SEALANT. SEE FLOOR PLAN FOR WINDOW TYPE",[]
1241,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SEE FLOOR PLAN FOR WINDOW TYPE",[]
1242,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SEE FLOOR PLAN FOR WINDOW TYPE",[]
1243,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SET IN FULL BEAD OF SEALANT. SEE FLOOR PLAN FOR WINDOW TYPE",[]
1244,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SEE FLOOR PLAN FOR WINDOW TYPE",[]
1245,A-602,Furnish & Install Vinyl Clad Windows,"NAIL-FIN WINDOW, SEE FLOOR PLAN FOR WINDOW TYPE",[]
1246,A-602,Furnish & Install Vinyl Clad Windows,NAIL-FIN WINDOW SYSTEM,[]
1247,A-602,"Furnish & Install Single Layer 5/8"" Gypsum Board","(1) LAYER 5/8"" GYPSUM BOARD","[""POSSIBLE_DIMENSION""]"
1248,A-602,"Furnish & Install Single Layer 5/8"" Gypsum Board","(1) LAYER 5/8"" GYPSUM BOARD","[""POSSIBLE_DIMENSION""]"
1249,A-602,"Furnish & Install Single Layer 5/8"" Gypsum Board","(1) LAYER 5/8"" GYPSUM BOARD","[""POSSIBLE_DIMENSION""]"
1250,A-602,"Furnish & Install Single Layer 5/8"" Gypsum Board","(1) LAYER 5/8"" GYPSUM BOARD","[""POSSIBLE_DIMENSION""]"
1251,A-602,"Furnish & Install Single Layer 5/8"" Gypsum Board","(1) LAYER 5/8"" GYPSUM BOARD","[""POSSIBLE_DIMENSION""]"
1252,A-602,Furnish & Install All Flooring Per General Installation Requirements,"FLOOR FINISH, SEE FINISH PLANS FOR MORE INFORMATION",[]
1253,A-602,"Furnish & Install Solid Surface Countertops, Splashes, And Window Sills","SOLID SURFACE WINDOW SILL, SEE FINISH PLANS",[]
1254,A-602,"Furnish & Install Solid Surface Countertops, Splashes, And Window Sills","SOLID SURFACE WINDOW SILL, SEE FINISH PLANS",[]
1255,A-602,"Furnish & Install Solid Surface Countertops, Splashes, And Window Sills","SOLID SURFACE WINDOW SILL, SEE FINISH PLANS",[]
1256,A-602,"Furnish & Install Solid Surface Countertops, Splashes, And Window Sills","SOLID SURFACE WINDOW SILL, SEE FINISH PLANS",[]
1257,A-602,"Furnish & Install Solid Surface Countertops, Splashes, And Window Sills","SOLID SURFACE WINDOW SILL, SEE FINISH PLANS",[]
1258,A-602,"Furnish & Install Solid Surface Countertops, Splashes, And Window Sills","SOLID SURFACE WINDOW SILL, SEE FINISH PLANS",[]
1259,CU300,Furnish & Install Concrete Collars for Utility Structures,"7. WATER VALVES, SEWER MANHOLES, STORM DRAIN INLETS OR CLEANOUT BOXES, AND OTHER SURFACE UTILITY ACCESSORIES SHALL BE RAISED AND SLOPED TO ACCURATE FINISH SURFACE BY A CONCRETE GRADE COLLAR IN PAVEMENT. COLLAR SHALL BE 12"" WIDE AROUND THE UTILITY APPARATUSES AND 8"" MINIMUM THICKNESS. PLACE 2 #4 REBAR HOOPS IN COLLAR. REFER TO DETAIL ON SHEET C100. CONCRETE COLLARS TO BE USED ONLY IN ASPHALT PAVEMENT AREAS.","[""POSSIBLE_DIMENSION""]"
